USER STORIES — TRACK'N SHARE,,,,,,,,,,
Backlog fonctionnel prêt pour GitHub Project : une ligne = une user story exploitable en issue ou carte Kanban.,,,,,,,,,,
ID,Epic,Titre,Acteur,Priorité,Taille,Statut,User story,Critères d'acceptation,Labels,Sprint conseillé
US-001,Découverte,Accéder à la landing page,Visiteur,P0,M,Backlog,"En tant que visiteur, je veux accéder à une landing page claire, afin de comprendre rapidement le concept de Track'N Share.",Nom du projet visible | Concept expliqué | CTA inscription connexion démo | Responsive,"frontend, landing, mvp",S2
US-002,Découverte,Comprendre les fonctionnalités principales,Visiteur,P0,S,Backlog,"En tant que visiteur, je veux voir les grandes fonctionnalités de la plateforme, afin de savoir ce que je peux faire après inscription.","Stats, leaderboards, équipes, saisons et PWA expliqués | Contenu lisible","frontend, landing, mvp",S2
US-003,Découverte,Accéder à la connexion depuis la landing page,Visiteur,P0,S,Backlog,"En tant que visiteur, je veux accéder facilement à la page de connexion, afin de me connecter à mon compte.",Bouton connexion visible | Redirection vers /login,"frontend, auth, navigation",S2
US-004,Découverte,Accéder à l'inscription depuis la landing page,Visiteur,P0,S,Backlog,"En tant que visiteur, je veux accéder facilement à la page d'inscription, afin de créer mon compte joueur.",Bouton inscription visible | Redirection vers /register,"frontend, auth, navigation",S2
US-005,Découverte,Essayer la démo depuis la landing page,Visiteur,P0,M,Backlog,"En tant que visiteur, je veux essayer un mode démo, afin de découvrir l'application avec des données déjà remplies.",Bouton démo disponible | Dashboard rempli | Ne dépend pas d'une API externe,"frontend, demo, mvp",S8
US-006,Découverte,Consulter une page publique de joueur,Visiteur ou joueur,P1,M,Backlog,"En tant que visiteur, je veux consulter le profil public d'un joueur, afin de voir ses statistiques partagées.",Données publiques visibles | Profil privé protégé | Stats masquées respectées,"frontend, profile, privacy",S8
US-007,Découverte,Consulter une page publique d'équipe,Visiteur ou joueur,P1,M,Backlog,"En tant que visiteur, je veux consulter une page publique d'équipe, afin de découvrir ses membres et performances publiques.",Données publiques visibles | Infos privées masquées,"frontend, teams, privacy",S8
US-008,Authentification,Créer un compte utilisateur,Visiteur,P0,M,Backlog,"En tant que visiteur, je veux créer un compte, afin d'accéder aux fonctionnalités de Track'N Share.",Pseudo email mot de passe saisis | Champs validés | Mot de passe hashé,"backend, frontend, auth, mvp",S3
US-009,Authentification,Refuser une inscription invalide,Visiteur,P0,S,Backlog,"En tant que visiteur, je veux être informé si mon inscription est invalide, afin de corriger mes informations.",Email invalide refusé | Mot de passe faible refusé | Email déjà utilisé signalé,"backend, frontend, auth, validation",S3
US-010,Authentification,Se connecter,Joueur,P0,M,Backlog,"En tant que joueur, je veux me connecter à mon compte, afin d'accéder à mon dashboard et mes données.",Identifiants vérifiés | Session ou token créé | Redirection dashboard,"backend, frontend, auth, mvp",S3
US-011,Authentification,Refuser une connexion invalide,Joueur,P0,S,Backlog,"En tant que joueur, je veux être informé si mes identifiants sont incorrects, afin de pouvoir réessayer.",Identifiants invalides refusés | Message clair | Pas de fuite d'information sensible,"backend, frontend, auth, sécurité",S3
US-012,Authentification,Se déconnecter,Joueur connecté,P0,S,Backlog,"En tant que joueur connecté, je veux me déconnecter, afin de fermer ma session en sécurité.",Bouton disponible | Session invalidée ou supprimée | Redirection hors espace privé,"frontend, backend, auth, sécurité",S3
US-013,Authentification,Protéger les routes privées,Système,P0,M,Backlog,"En tant que système, je veux protéger les routes privées, afin d'empêcher les accès non autorisés.",Dashboard inaccessible non connecté | Redirection login | Contrôle back-end,"frontend, backend, auth, sécurité",S3
US-014,Authentification,Gérer l'expiration de session,Joueur connecté,P0,M,Backlog,"En tant que joueur connecté, je veux être redirigé proprement si ma session expire, afin de ne pas rester bloqué.",Session expirée détectée | État utilisateur vidé | Reconnexion possible,"frontend, backend, auth, sécurité",S3
US-015,Authentification,Réinitialiser un mot de passe oublié,Joueur,P1,M,Backlog,"En tant que joueur, je veux réinitialiser mon mot de passe, afin de récupérer l'accès à mon compte.",Lien de réinitialisation | Lien expirant | Nouveau mot de passe hashé,"backend, auth, bonus",S8
US-016,Profil,Consulter mon profil,Joueur connecté,P0,M,Backlog,"En tant que joueur connecté, je veux consulter mon profil, afin de voir mes informations et statistiques principales.",Pseudo avatar bio score stats visibles | Données chargées depuis l'API,"frontend, backend, profile, mvp",S4
