RÉPARTITION DES TÂCHES — TRACK'N SHARE,,,,,,,,,,,,,
"Feuille préparée pour reporter les tâches dans GitHub Project : créer une issue par ligne, reprendre le responsable, la priorité, les labels, les dépendances et les critères d'acceptation.",,,,,,,,,,,,,
ID,Phase,Epic,Titre GitHub Issue,Description,Responsable,Priorité,Statut initial,Taille,Labels GitHub,Dépendances,Critères d'acceptation,Livrable / preuve,Sprint conseillé
TNS-001,S0,Gestion projet,Valider le périmètre MVP,Relire le cahier des charges et figer les fonctionnalités obligatoires avant développement.,Binôme,P0,Backlog,S,"gestion-projet, mvp, cadrage",Cahier des charges terminé,Liste MVP validée et bonus séparés clairement.,MVP validé dans la documentation,S1
TNS-002,S0,Gestion projet,Créer le GitHub Project Kanban,"Créer les colonnes du board et préparer les champs : statut, priorité, responsable, sprint, labels.",Binôme,P0,Backlog,S,"gestion-projet, github-project",TNS-001,"Board créé avec colonnes Backlog, À faire, En cours, Review, Terminé.",Lien du GitHub Project,S1
TNS-003,S0,Gestion projet,Importer les tâches dans GitHub Issues,Reporter les lignes de ce Google Sheet dans GitHub Issues ou cartes Project.,Binôme,P0,Backlog,M,"gestion-projet, github-project",TNS-002,Chaque tâche P0/P1 existe dans GitHub Project avec responsable et labels.,Issues créées dans GitHub,S1
TNS-004,S0,Gestion projet,Finaliser la répartition des responsabilités,Vérifier la répartition Ioanes / Clément et ajuster les tâches selon les disponibilités.,Binôme,P0,Backlog,S,"gestion-projet, organisation",TNS-003,Chaque tâche prioritaire possède un responsable clair.,Google Sheet mis à jour,S1
TNS-005,S0,Documentation,Maintenir le cahier des charges,Garder le cahier des charges à jour lorsque le périmètre évolue.,Ioanes,P1,Backlog,S,"documentation, gestion-projet",TNS-001,Le document reste cohérent avec les choix techniques et fonctionnels.,Cahier des charges à jour,S1-S8
TNS-006,S0,Documentation,Maintenir le document risques et solutions,Mettre à jour les risques pendant le projet selon les difficultés rencontrées.,Ioanes,P1,Backlog,S,"documentation, risques",TNS-001,Les risques critiques ont une solution ou un plan de secours.,Document risques à jour,S1-S8
TNS-007,S1,DevOps,Initialiser le repository GitHub,"Créer le repository, branches principales, README initial et règles de contribution simples.",Ioanes,P0,Backlog,S,"devops, setup, github",TNS-001,Repository accessible avec README et branche main propre.,Repo GitHub initialisé,S1
TNS-008,S1,DevOps,Définir la structure front/back,Choisir l'organisation du repo : monorepo ou dossiers séparés front et back.,Binôme,P0,Backlog,S,"architecture, setup",TNS-007,Structure validée et comprise par les deux développeurs.,Arborescence créée,S1
TNS-009,S1,Back-end,Initialiser NestJS avec TypeScript,"Créer le projet back-end NestJS, scripts npm et structure modulaire de base.",Ioanes,P0,Backlog,M,"backend, nestjs, setup",TNS-008,Le back démarre localement et expose une route de santé.,Application NestJS fonctionnelle,S1
TNS-010,S1,Front-end,Initialiser React avec TypeScript,Créer le projet front-end React TypeScript avec routing de base.,Clément,P0,Backlog,M,"frontend, react, setup",TNS-008,Le front démarre localement et affiche une page d'accueil temporaire.,Application React fonctionnelle,S1
TNS-011,S1,DevOps,Mettre en place Docker Compose,"Créer un docker-compose pour lancer front, back, base de données et Redis si utilisé.",Ioanes,P0,Backlog,M,"devops, docker","TNS-009, TNS-010",Le projet se lance avec une commande documentée.,docker-compose opérationnel,S1
TNS-012,S1,DevOps,Créer les fichiers .env.example,Documenter les variables d'environnement nécessaires au front et au back.,Ioanes,P0,Backlog,S,"devops, sécurité, env",TNS-009,Aucun secret réel n'est versionné et les variables utiles sont listées.,.env.example disponible,S1
TNS-013,S1,Qualité,Configurer linting et formatage,Ajouter ESLint/Prettier ou équivalent pour garder un code homogène.,Binôme,P1,Backlog,S,"qualité, setup","TNS-009, TNS-010",Les commandes lint/format fonctionnent sur front et back.,Scripts npm lint/format,S1
TNS-014,S1,Documentation,Rédiger le guide d'installation local,Documenter les étapes pour installer et lancer le projet sur une machine vierge.,Clément,P1,Backlog,S,"documentation, devops",TNS-011,Un membre peut lancer le projet en suivant le README.,README installation,S1
TNS-015,S2,Front-end,Créer le layout global responsive,"Mettre en place le layout principal desktop/mobile avec header, navigation et zone de contenu.",Clément,P0,Backlog,M,"frontend, ui, responsive",TNS-010,Le layout fonctionne sur desktop et mobile.,Layout responsive,S2
TNS-016,S2,Front-end,Créer la navigation mobile,Ajouter menu burger ou bottom navigation adaptée à la PWA mobile.,Clément,P0,Backlog,M,"frontend, mobile, pwa",TNS-015,Les pages principales sont accessibles sur mobile.,Navigation mobile fonctionnelle,S2
TNS-017,S2,PWA,Ajouter le manifest PWA,"Créer manifest.webmanifest avec nom, icônes, couleurs, display standalone et start_url.",Clément,P0,Backlog,S,"pwa, frontend",TNS-010,Le manifest est détecté par le navigateur.,Manifest PWA présent,S2
TNS-018,S2,PWA,Ajouter un service worker simple,Mettre en place un service worker avec cache des assets statiques et fallback offline simple.,Clément,P1,Backlog,M,"pwa, service-worker",TNS-017,L'application possède une stratégie offline minimale sans cacher de données sensibles.,Service worker fonctionnel,S3
TNS-019,S2,Front-end,Préparer les composants UI réutilisables,"Créer boutons, cartes, inputs, badges, modales simples et composants de tableau.",Clément,P0,Backlog,M,"frontend, ui",TNS-015,Les pages MVP réutilisent des composants communs.,Dossier components prêt,S2
TNS-020,S2,Front-end,Créer les routes principales,"Créer les routes login, register, dashboard, profile, games, leaderboard, teams, settings.",Clément,P0,Backlog,M,"frontend, routing",TNS-015,Toutes les routes MVP existent même avec contenu placeholder.,Routing opérationnel,S2
TNS-021,S2,Front-end,Créer le store utilisateur,Mettre en place le store utilisateur avec Valtio ou solution choisie.,Clément,P0,Backlog,M,"frontend, state",TNS-020,L'état utilisateur est accessible dans l'application.,Store utilisateur,S2
TNS-022,S2,Back-end,Configurer les modules NestJS de base,"Créer AuthModule, UsersModule, GamesModule, StatsModule, TeamsModule, SeasonsModule.",Ioanes,P0,Backlog,M,"backend, nestjs, architecture",TNS-009,Les modules principaux existent avec services/controllers de base.,Modules NestJS créés,S2
TNS-023,S2,Back-end,Configurer validation DTO globale,"Ajouter validation pipe, class-validator et class-transformer.",Ioanes,P0,Backlog,S,"backend, sécurité, validation",TNS-009,Les endpoints rejettent les payloads invalides.,Validation globale activée,S2
TNS-024,S2,Back-end,Configurer CORS et Helmet,Ajouter configuration CORS précise et headers de sécurité avec Helmet.,Ioanes,P0,Backlog,S,"backend, sécurité",TNS-009,Le front peut appeler l'API et les headers sécurité sont présents.,CORS + Helmet configurés,S2
TNS-025,S2,Back-end,Préparer Swagger API,Ajouter Swagger pour documenter les endpoints REST principaux.,Ioanes,P1,Backlog,S,"backend, documentation, swagger",TNS-022,Une page de documentation API est accessible en dev.,Swagger disponible,S3
TNS-026,S2,BDD,Choisir et documenter la stratégie BDD,Confirmer PostgreSQL + Redis ou Redis-JSON selon contraintes du projet.,Ioanes,P0,Backlog,S,"bdd, architecture",TNS-001,Le choix BDD est documenté avec justification.,Décision BDD validée,S2
TNS-027,S2,BDD,Créer le modèle de données initial,"Définir les entités User, GameAccount, Game, PlayerStats, Team, TeamMember, Season, Message.",Ioanes,P0,Backlog,L,"bdd, modèle-données",TNS-026,Le modèle couvre les besoins MVP et les relations principales.,Schéma de données initial,S2
TNS-028,S2,BDD,Mettre en place les migrations ou schémas,Créer les premières migrations SQL ou structures Redis-JSON selon le choix BDD.,Ioanes,P0,Backlog,L,"bdd, backend",TNS-027,La base peut être initialisée automatiquement.,Schémas/migrations opérationnels,S3
TNS-029,S2,BDD,Créer les seeders de démonstration,"Préparer des données fictives : joueurs, équipes, jeux, saisons, statistiques et messages.",Ioanes,P0,Backlog,L,"bdd, seed, demo",TNS-028,La base peut être remplie avec des données réalistes pour la démo.,Seeder disponible,S4
TNS-030,S3,Auth,Créer l'inscription côté back-end,"Développer endpoint register avec validation, hash du mot de passe et création utilisateur.",Ioanes,P0,Backlog,M,"backend, auth, sécurité","TNS-023, TNS-027",Un utilisateur peut être créé avec mot de passe hashé.,Endpoint register,S3
TNS-031,S3,Auth,Créer la connexion côté back-end,Développer endpoint login avec vérification du mot de passe et génération de session/token.,Ioanes,P0,Backlog,M,"backend, auth",TNS-030,Un utilisateur valide peut se connecter et reçoit une session/token.,Endpoint login,S3
TNS-032,S3,Auth,Créer la déconnexion et refresh token,Développer logout et refresh si l'architecture JWT/cookies est retenue.,Ioanes,P0,Backlog,M,"backend, auth, sécurité",TNS-031,Un utilisateur peut renouveler ou invalider sa session.,Logout/refresh opérationnels,S3
TNS-033,S3,Auth,Créer les guards d'authentification,Protéger les routes privées côté back-end.,Ioanes,P0,Backlog,M,"backend, auth, guards",TNS-031,Les endpoints privés refusent les utilisateurs non connectés.,Guards actifs,S3
TNS-034,S3,Auth,Créer les pages login/register,Créer les formulaires de connexion et inscription côté front avec validation simple.,Clément,P0,Backlog,M,"frontend, auth","TNS-020, TNS-030, TNS-031",Un utilisateur peut s'inscrire et se connecter depuis l'interface.,Pages auth fonctionnelles,S3
TNS-035,S3,Auth,Gérer la session côté front,"Stocker l'état connecté, protéger les routes privées et gérer la déconnexion.",Clément,P0,Backlog,M,"frontend, auth, state","TNS-021, TNS-032, TNS-033",Les routes privées redirigent correctement selon l'état utilisateur.,Session front gérée,S3
